기관명,주소,연락처
함양경찰서,경상남도 함양군 함양읍 학사루길 12,055-963-2113
함양교육지원청,경상남도 함양군 함양읍 함양로 1157,055-960-2702
함양소방서,경상남도 함양군 함양읍 함양로 1179,055-960-9215
함양군선거관리위원회,경상남도 함양군 함양읍 함양로 1043,055-963-2409
농협중앙회함양군지부,경상남도 함양군 함양읍 함양로 1141,055-962-3371
경남은행함양지점,경상남도 함양군 함양읍 함양로 1115,055-962-6891
창원지방법원함양등기소,경상남도 함양군 함양읍 학사루길 8,055-963-2027
함양우체국,경상남도 함양군 함양읍 학사루길 1,055-963-2008
함양도서관,경상남도 함양군 함양읍 함양로 1143-1,055-963-3186
함양신용협동조합,경상남도 함양군 함양읍 고운로 60-1,055-963-7711
함양군산림조합,경상남도 함양군 함양읍 용평2길 22,055-963-8711
함양축산업협동조합,경상남도 함양군 함양읍 용평중앙길 7-9,055-964-0600
함양엽연초생산조합,경상남도 함양군 함양읍 함양로 1196,055-963-2058
한국전력공사함양지점,경상남도 함양군 함양읍 함양로 1207,055-960-2200
KT함양지점,경상남도 함양군 함양읍 고운로 86,055-962-0800
서부지방산림관리청 함양국유림관리소,경상남도 함양군 함양읍 함양로 1072,055-963-8111
국립농산물품질관리원함양산청출장소,경상남도 함양군 함양읍 영림서길 32,055-962-2410
국민건강보험공단경남북부지사,경상남도 함양군 함양읍 고운로 83,055-962-3050
한국농어촌공사 거창함양지사 함양출장소,경상남도 함양군 함양읍 함양로 1161,055-963-2011
대한지적공사울산경남본부함양군지사,경상남도 함양군 함양읍 함양남서로 1219,055-963-3131
덕유교육원,경상남도 함양군 서상면 덕유월성로 547-150,055-963-0188
환경시설관리공사함양영업소,경상남도 함양군 함양읍 하림강변길 187,055-962-7107
